Date,Open,High,Low,Close,Adj Close,Volume,Predicted with avg 68 per loss,predicted close
04/05/23,17422.30078,17570.55078,17402.69922,17557.05078,17557.05078,248300,17553.26,3.79078
04/06/23,17533.84961,17638.69922,17502.84961,17599.15039,17599.15039,242700,17600.771,-1.62061
04/10/23,17634.90039,17694.09961,17597.94922,17624.05078,17624.05078,254800,17633.191,-9.14022
04/11/23,17704.80078,17748.75,17655.15039,17722.30078,17722.30078,304300,17719.414,2.88678
04/12/23,17759.55078,17825.75,17717.25,17812.40039,17812.40039,232800,17807.082,5.31839
4/13/23,17807.30078,17842.15039,17729.65039,17828,17828,285800,17817.43,10.57
4/17/23,17863,17863,17574.05078,17706.84961,17706.84961,357400,17692.13,14.71961
4/18/23,17766.59961,17766.59961,17610.19922,17660.15039,17660.15039,258900,17657.934,2.21639
4/19/23,17653.34961,17666.15039,17579.84961,17618.75,17618.75,281500,17617.402,1.348
4/20/23,17638.59961,17684.44922,17584.34961,17624.44922,17624.44922,215100,17628.504,-4.05478
4/21/23,17639.75,17663.19922,17553.94922,17624.05078,17624.05078,230200,17618.184,5.86678
4/24/23,17707.55078,17754.5,17612.5,17743.40039,17743.40039,255700,17728.545,14.85539
4/25/23,17761.55078,17807.44922,17716.84961,17769.25,17769.25,297400,17769.963,-0.713
4/26/23,17767.30078,17827.75,17711.19922,17813.59961,17813.59961,233000,17806.137,7.46261
4/27/23,17813.09961,17931.59961,17797.90039,17915.05078,17915.05078,241400,17913.77,1.28078
4/28/23,17950.40039,18089.15039,17885.30078,18065,18065,290300,18055.783,9.217
05/02/23,18124.80078,18180.25,18101.75,18147.65039,18147.65039,265200,18150.74,-3.08961
05/03/23,18113.80078,18116.34961,18042.40039,18089.84961,18089.84961,226200,18084.371,5.47861
05/04/23,18081,18267.44922,18066.69922,18255.80078,18255.80078,226600,18251.414,4.38678
05/05/23,18117.30078,18216.94922,18055.44922,18069,18069,239700,18090.62,-21.62
05/08/23,18120.59961,18286.94922,18100.30078,18264.40039,18264.40039,228400,18262.117,2.28339
05/09/23,18303.40039,18344.19922,18229.65039,18265.94922,18265.94922,245400,18270.973,-5.02378
05/10/23,18313.59961,18326.75,18211.94922,18315.09961,18315.09961,220500,18300.318,14.78161
05/11/23,18357.80078,18389.69922,18270.40039,18297,18297,248900,18303.207,-6.207
05/12/23,18273.75,18342.75,18194.55078,18314.80078,18314.80078,241700,18306.154,8.64678
5/15/23,18339.30078,18458.90039,18287.90039,18398.84961,18398.84961,216100,18401.188,-2.33839
5/16/23,18432.34961,18432.34961,18264.34961,18286.5,18286.5,219500,18291.477,-4.977
5/17/23,18300.44922,18309,18115.34961,18181.75,18181.75,229900,18178.969,2.781
5/18/23,18287.5,18297.19922,18104.84961,18129.94922,18129.94922,272100,18136.945,-6.99578
5/19/23,18186.15039,18218.09961,18060.40039,18203.40039,18203.40039,260900,18184.33,19.07039
5/22/23,18201.09961,18335.25,18178.84961,18314.40039,18314.40039,262600,18312.398,2.00239
5/23/23,18362.90039,18419.75,18324.19922,18348,18348,270400,18357.39,-9.39
5/24/23,18294.80078,18392.59961,18262.94922,18285.40039,18285.40039,232600,18303.03,-17.62961
5/25/23,18268.90039,18338.09961,18202.40039,18321.15039,18321.15039,235900,18312.234,8.91639
5/26/23,18368.34961,18508.55078,18333.15039,18499.34961,18499.34961,198700,18492.082,7.26761
5/29/23,18619.15039,18641.19922,18581.25,18598.65039,18598.65039,265300,18602.488,-3.83761
5/30/23,18606.65039,18662.44922,18575.5,18633.84961,18633.84961,234400,18634.574,-0.72439
5/31/23,18594.19922,18603.90039,18483.84961,18534.40039,18534.40039,696500,18531.773,2.62739
06/01/23,18579.40039,18580.30078,18464.55078,18487.75,18487.75,265600,18489.934,-2.184
06/02/23,18550.84961,18573.69922,18478.40039,18534.09961,18534.09961,270900,18530.914,3.18561
06/05/23,18612,18640.15039,18582.80078,18593.84961,18593.84961,256100,18599.955,-6.10539
06/06/23,18600.80078,18622.75,18531.59961,18599,18599,220800,18592.727,6.273
06/07/23,18665.59961,18738.94922,18636,18726.40039,18726.40039,260100,18723.105,3.29539
06/08/23,18725.34961,18777.90039,18615.59961,18634.55078,18634.55078,286500,18647.941,-13.39022
06/09/23,18655.90039,18676.65039,18555.40039,18563.40039,18563.40039,221800,18572.422,-9.02161
06/12/23,18595.05078,18633.59961,18559.75,18601.5,18601.5,179500,18602.828,-1.328
6/13/23,18631.80078,18728.90039,18631.80078,18716.15039,18716.15039,233200,18717.535,-1.38461
6/14/23,18744.59961,18769.69922,18690,18755.90039,18755.90039,261400,18749.88,6.02039
6/15/23,18774.44922,18794.09961,18669.05078,18688.09961,18688.09961,263000,18694.586,-6.48639
6/16/23,18723.30078,18864.69922,18710.5,18826,18826,272800,18829.74,-3.74
6/19/23,18873.30078,18881.44922,18719.15039,18755.44922,18755.44922,219800,18758.105,-2.65578
6/20/23,18752.34961,18839.69922,18660.65039,18816.69922,18816.69922,211600,18804.094,12.60522
6/21/23,18849.40039,18875.90039,18794.84961,18856.84961,18856.84961,217500,18852.033,4.81661
6/22/23,18853.59961,18886.59961,18759.5,18771.25,18771.25,252700,18781.57,-10.32
6/23/23,18741.84961,18756.40039,18647.09961,18665.5,18665.5,210600,18670.543,-5.043
6/26/23,18682.34961,18722.05078,18646.69922,18691.19922,18691.19922,171300,18692.146,-0.94678
6/27/23,18748.55078,18829.25,18714.25,18817.40039,18817.40039,222500,18812.86,4.54039
6/28/23,18908.15039,19011.25,18861.34961,18972.09961,18972.09961,398800,18971,1.09961
6/30/23,19076.84961,19201.69922,19024.59961,19189.05078,19189.05078,247900,19180.068,8.98278
07/03/23,19246.5,19345.09961,19234.40039,19322.55078,19322.55078,226100,19324.059,-1.50822
07/04/23,19406.59961,19434.15039,19300,19389,19389,226900,19380.848,8.152
07/05/23,19405.94922,19421.59961,19339.59961,19398.5,19398.5,224400,19392.898,5.602
07/06/23,19385.69922,19512.19922,19373,19497.30078,19497.30078,268300,19496.047,1.25378
07/07/23,19422.80078,19523.59961,19303.59961,19331.80078,19331.80078,237100,19353.367,-21.56622
07/10/23,19400.34961,19435.84961,19327.09961,19355.90039,19355.90039,268200,19361.727,-5.82661
07/11/23,19427.09961,19515.09961,19406.44922,19439.40039,19439.40039,251300,19452.156,-12.75561
07/12/23,19497.44922,19507.69922,19361.75,19384.30078,19384.30078,327900,19389.736,-5.43522
7/13/23,19495.19922,19567,19385.80078,19413.75,19413.75,310400,19429.016,-15.266
7/14/23,19493.44922,19595.34961,19433.5,19564.5,19564.5,291200,19559.164,5.336
7/17/23,19612.15039,19731.84961,19562.94922,19711.44922,19711.44922,268700,19705.074,6.37522
7/18/23,19787.5,19819.44922,19690.19922,19749.25,19749.25,286400,19748.574,0.676
7/19/23,19802.94922,19851.69922,19727.44922,19833.15039,19833.15039,259700,19823.824,9.32639
